SPECTRUM - MS
FB_SA_BioIDJan24_C1_1.raw
FTMS + p NSI Full ms [400.0000-1500.0000]
Scan #: 1
RT: 0.00
m/z	Intensity	Relative

  419.31711	 114648.6	   50.32
  420.32047	  28471.5	   12.50
  428.89288	  14517.0	    6.37
  430.88992	  35190.7	   15.44
  432.88708	  26761.1	   11.75
  445.12173	 227848.9	  100.00
  446.12198	  85935.1	   37.72
  447.11792	  52258.3	   22.94
  447.34857	 102585.3	   45.02
  448.35193	  32440.0	   14.24
  519.14099	 119184.6	   52.31
  520.14136	  53950.6	   23.68
  521.13800	  34045.0	   14.94
  533.19305	  26859.8	   11.79
  593.15979	  49320.4	   21.65
  594.16022	  24289.4	   10.66
  595.15790	  15930.4	    6.99
  667.17883	  28035.1	   12.30
  668.17914	  19392.6	    8.51
  741.19775	  18017.2	    7.91
