

SPECTRUM - MS
FB_SA_BioIDJan24_C1_1.raw
FTMS + p NSI Full ms [400.0000-1500.0000]
Scan #: 1
RT: 0.00
Mass defect: 0.00 @ 1.00, 300.00 @ 1000.00
Data points: 263
Mass	Intensity
396	0
400	12972
401	70597
402	18364
403	55829
404	7399
405	42818
406	36462
407	37953
408	20660
409	28183
410	20846
411	37687
412	19177
413	44023
414	35519
415	33286
416	23335
417	12540
418	6397
419	466623
420	126360
421	37251
422	4873
423	34381
424	22039
425	50889
426	7391
427	23150
428	59387
429	138347
430	20810
431	177550
432	49013
433	177070
434	26104
435	57637
436	26907
437	20945
438	6716
439	8834
440	19100
441	24928
442	7386
443	14423
444	1877
445	937132
446	355371
447	660728
448	210148
449	64406
450	27748
451	14795
452	13248
453	32584
454	2955
455	21012
456	5451
457	9502
458	13482
459	70115
460	22576
461	32033
462	62642
463	65989
464	19399
465	41647
466	5680
467	72086
468	3743
469	12102
470	2792
471	2552
472	4719
473	16599
474	3689
475	8740
476	5617
477	5986
478	5846
479	8596
480	5120
482	2604
483	10067
484	17567
485	21401
486	11024
487	10016
488	4593
489	15900
491	21352
492	8350
493	15273
495	9412
496	15936
497	18065
498	10178
500	4813
501	24458
502	4359
503	23608
504	4228
505	48325
506	16242
507	23309
508	7424
509	3890
510	11337
511	3443
512	6614
513	3321
514	3600
515	7176
517	5599
518	3711
519	487734
520	217307
521	152171
522	50339
523	28837
524	3270
527	4783
529	9749
530	7293
533	103859
534	54709
535	36656
536	42054
537	32394
538	10828
539	8406
540	7757
544	3791
545	18367
546	5671
547	10767
548	3574
549	4115
550	12839
551	11619
552	3722
553	4120
555	4125
556	11302
557	2572
559	12537
561	3945
563	5094
565	3056
571	2764
573	3844
574	4343
577	10032
578	3811
579	28222
580	18992
581	10543
582	3652
583	6198
586	4298
587	4128
588	2402
589	2791
591	3643
593	194011
594	95645
595	64036
596	33992
597	9233
601	3465
603	2737
606	2512
607	37321
608	18332
609	12942
610	19749
611	8682
612	5343
619	2422
624	3236
625	2559
629	2591
633	2793
639	2992
641	2988
643	2938
644	2773
649	2533
651	3559
652	4004
653	10269
654	6838
659	2645
661	6073
663	7164
665	3164
667	113006
668	75839
669	48410
670	21965
671	12731
672	5749
677	7120
680	2487
681	13305
682	10168
683	3173
684	5762
685	4001
686	4152
692	3216
699	2998
710	3387
715	4399
727	3611
729	3273
741	69970
742	56736
743	35434
744	18945
745	7538
755	4202
756	0
758	6600
759	3726
776	6539
777	0
787	3823
796	2948
798	2961
815	40285
816	30473
817	32653
818	16175
819	6637
820	3265
832	1834
833	1072
834	2556
835	581
867	3654
881	3062
889	6946
890	16821
891	16464
892	8612
893	6821
894	1338
898	3145
912	2692
963	0
964	4064
965	5825
966	0
967	4463
1096	2847
1222	2881
1322	3027
1351	2830
1386	2621
1422	3278
1456	3117
1516	0

